ID	名称	品阶	类型	技能说明	初始加成额度	技能成长幅度	Icom图片路径	海报图片路径	名字图片路径	时长	ccb文件	攻击timeline	攻击置换资源	音效
68	钢牙击	3	1	在嘴里装上钢制的利齿牙套，就可以轻易的撕碎敌人了。此奥义较难施展。	12.72	8.75	skillposter/poster_skill_gangyaji.png	skillposter/poster_skill_gangyaji.png	skilltex/tex_skill_gangyaji.png	2	s_battle	s_skilla	{mSsaEFA01:s_YaojimSsaEFA01.png}{mSsaEFA02:s_YaojimSsaEFA02.png}{mSsaEFA03:s_YaojimSsaEFA03.png}{mSsaEFA04:s_YaojimSsaEFA04.png}{mSsaEFA05:s_YaojimSsaEFA05.png}{mSsaEFA06:s_YaojimSsaEFA06.png}{mSsaEFA07:s_YaojimSsaEFA07.png}{mSsaEFB01:s_YaojimSsaEFA01.png}{mSsaEFB02:s_YaojimSsaEFA02.png}{mSsaEFB03:s_YaojimSsaEFA03.png}{mSsaEFB04:s_YaojimSsaEFA04.png}{mSsaEFB05:s_YaojimSsaEFA05.png}{mSsaEFB06:s_YaojimSsaEFA06.png}{mSsaEFB07:s_YaojimSsaEFA07.png}{mSsaEFC01:s_YaojimSsaEFA01.png}{mSsaEFC02:s_YaojimSsaEFA02.png}{mSsaEFC03:s_YaojimSsaEFA03.png}{mSsaEFC04:s_YaojimSsaEFA04.png}{mSsaEFC05:s_YaojimSsaEFA05.png}{mSsaEFC06:s_YaojimSsaEFA06.png}{mSsaEFC07:s_YaojimSsaEFA07.png}	skillc.mp3
69	回旋踢	3	1	跳起来在空中转身，利用回旋力重重的踢向敌人。此奥义较难施展。	12.99	9.04	skillposter/poster_skill_huixuanti.png	skillposter/poster_skill_huixuanti.png	skilltex/tex_skill_huixuanti.png	2	s_battle	s_skilla	{mSsaEFA01:s_QuanjimSsaEFA01.png}{mSsaEFA02:s_QuanjimSsaEFA02.png}{mSsaEFA03:s_QuanjimSsaEFA03.png}{mSsaEFA04:s_QuanjimSsaEFA04.png}{mSsaEFA05:s_QuanjimSsaEFA05.png}{mSsaEFA06:s_QuanjimSsaEFA06.png}{mSsaEFA07:s_QuanjimSsaEFA07.png}{mSsaEFB01:s_QuanjimSsaEFA08.png}{mSsaEFB02:s_QuanjimSsaEFA08.png}{mSsaEFB03:s_QuanjimSsaEFA08.png}{mSsaEFB04:s_QuanjimSsaEFA08.png}{mSsaEFB05:s_QuanjimSsaEFA08.png}{mSsaEFB06:s_QuanjimSsaEFA08.png}{mSsaEFB07:s_QuanjimSsaEFA08.png}{mSsaEFC01:s_QuanjimSsaEFA08.png}{mSsaEFC02:s_QuanjimSsaEFA08.png}{mSsaEFC03:s_QuanjimSsaEFA08.png}{mSsaEFC04:s_QuanjimSsaEFA08.png}{mSsaEFC05:s_QuanjimSsaEFA08.png}{mSsaEFC06:s_QuanjimSsaEFA08.png}{mSsaEFC07:s_QuanjimSsaEFA08.png}	skillc.mp3
70	拳击	4	1	海贼世界流传甚广的基本拳术。此奥义容易施展。	4.56	3.1	skillposter/poster_skill_quanji.png	skillposter/poster_skill_quanji.png	skilltex/tex_skill_quanji.png	2	s_battle	s_skilla	{mSsaEFA01:s_QuanjimSsaEFA01.png}{mSsaEFA02:s_QuanjimSsaEFA02.png}{mSsaEFA03:s_QuanjimSsaEFA03.png}{mSsaEFA04:s_QuanjimSsaEFA04.png}{mSsaEFA05:s_QuanjimSsaEFA05.png}{mSsaEFA06:s_QuanjimSsaEFA06.png}{mSsaEFA07:s_QuanjimSsaEFA07.png}{mSsaEFB01:s_QuanjimSsaEFA08.png}{mSsaEFB02:s_QuanjimSsaEFA08.png}{mSsaEFB03:s_QuanjimSsaEFA08.png}{mSsaEFB04:s_QuanjimSsaEFA08.png}{mSsaEFB05:s_QuanjimSsaEFA08.png}{mSsaEFB06:s_QuanjimSsaEFA08.png}{mSsaEFB07:s_QuanjimSsaEFA08.png}{mSsaEFC01:s_QuanjimSsaEFA08.png}{mSsaEFC02:s_QuanjimSsaEFA08.png}{mSsaEFC03:s_QuanjimSsaEFA08.png}{mSsaEFC04:s_QuanjimSsaEFA08.png}{mSsaEFC05:s_QuanjimSsaEFA08.png}{mSsaEFC06:s_QuanjimSsaEFA08.png}{mSsaEFC07:s_QuanjimSsaEFA08.png}	skillc.mp3
71	锤击	4	1	使用普通的铁锤攻击对方。此奥义较易施展。	3.88	2.72	skillposter/poster_skill_chuiji.png	skillposter/poster_skill_chuiji.png	skilltex/tex_skill_chuiji.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
72	扫射	4	1	使用机枪对敌人进行扫射。此奥义较易施展。	3.92	2.83	skillposter/poster_skill_saoshe.png	skillposter/poster_skill_saoshe.png	skilltex/tex_skill_saoshe.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
73	回旋镖	4	1	使用回旋镖攻击敌人。此奥义较易施展。	4.08	2.77	skillposter/poster_skill_huixuanbiao.png	skillposter/poster_skill_huixuanbiao.png	skilltex/tex_skill_huixuanbiao.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
74	霸煌拳	2	1	威猛霸道的体术攻击，威力不凡，可以轻易轰杀普通海王类。此奥义较易施展。	22.05	12.87	skillposter/poster_skill_bahuangquan.png	skillposter/poster_skill_bahuangquan.png	skilltex/tex_skill_bahuangquan.png	6	s_slsa	large_single_e	{mSlsaEF01:s_bhqmSlsaEF01.png}{mSlsaEF02a01:s_bhqmSlsaEF02a01.png}{mSlsaEF02a02:s_bhqmSlsaEF02a02.png}{mSlsaEF03:s_bhqmSlsaEF03.png}{mSlsaEF04:s_bhqmSlsaEF04.png}{mSlsaEF05:s_bhqmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	haijun.mp3
75	致命狙击	2	1	使用狙击枪远距离对敌人进行狙击，因威力巨大，往往一击毙命。此奥义较易施展。	22.5	12.74	skillposter/poster_skill_zhimingjuji.png	skillposter/poster_skill_zhimingjuji.png	skilltex/tex_skill_zhimingjuji.png	6	s_slsa	large_single_c	{mSlsaEF01:s_slhyxmSlsaEF01.png}{mSlsaEF02a01:s_slhyxmSlsaEF02a01.png}{mSlsaEF02a02:s_slhyxmSlsaEF02a02.png}{mSlsaEF03:s_slhyxmSlsaEF03.png}{mSlsaEF04:s_slhyxmSlsaEF04.png}{mSlsaEF05:s_slhyxmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	zhiming.mp3
76	疾风斩	2	2	使用刀剑如疾风般快速的斩击敌人。此奥义较易施展。	7	4.08	skillposter/poster_skill_jifengzhan.png	skillposter/poster_skill_jifengzhan.png	skilltex/tex_skill_jifengzhan.png	6	s_slga	large_group_c	{mSlgaEF01:s_jifengzmSlgcEF01.png}{mSlgaEF02:s_jifengzmSlgcEF02.png}{mSlgaEF03:s_jifengzmSlgcEF03.png}{mSlgaEF04:s_jifengzmSlgcEF04.png}{mSlgaEF05:s_jifengzmSlgcEF05.png}{mSlgaEF06:s_jifengzmSlgcEF06.png}{mSlgaEF07:s_jifengzmSlgcEF07.png}{mSlgaEF08:s_jifengzmSlgcEF08.png}{mSlgaEF09:s_jifengzmSlgcEF09.png}{mSlgaEF10:s_jifengzmSlgcEF10.png}	jifengzhan.mp3
77	海军六式	2	1	海军内部独有的训练内容，可以将身体的潜能发挥至极限。此奥义较易施展。	22.95	12.74	skillposter/poster_skill_haijunliushi.png	skillposter/poster_skill_haijunliushi.png	skilltex/tex_skill_haijunliushi.png	6	s_slsa	large_single_d	{mSlsaEF01:s_hjlsmSlsaEF01.png}{mSlsaEF02a01:s_hjlsmSlsaEF02a01.png}{mSlsaEF02a02:s_hjlsmSlsaEF02a02.png}{mSlsaEF03:s_hjlsmSlsaEF03.png}{mSlsaEF04:s_hjlsmSlsaEF04.png}{mSlsaEF05:s_hjlsmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	haijun.mp3
